No.,Team,MP,W,D,L,GF,GA,GD
1,Chelsea,37,29,3,5,80,32,48
2,Tottenham,37,25,8,4,79,25,54
3,Man. City,37,22,9,6,75,39,36
4,Liverpool,37,21,10,6,75,42,33
5,Arsenal,37,22,6,9,74,43,31
6,Manchester United F.C.,37,17,15,5,52,29,23
7,Everton,37,17,10,10,61,41,20
8,Southampton,37,12,10,15,41,47,-6
9,West Brom,37,12,9,16,42,49,-7
10,Bournemouth,37,12,9,16,54,66,-12
11,Leicester City F.C.,37,12,7,18,47,62,-15
12,West Ham,37,11,9,17,45,63,-18
13,Crystal Palace,37,12,5,20,50,61,-11
14,Stoke City F.C.,37,10,11,16,40,56,-16
15,Burnley F.C.,37,11,7,19,38,53,-15
16,Watford,37,11,7,19,40,63,-23
17,Swansea City A.F.C.,37,11,5,21,43,69,-26
18,Hull City Tigers,37,9,7,21,36,73,-37
19,Middlesbrough,37,5,13,19,27,50,-23
20,Sunderland,37,6,6,25,28,64,-36
